"date","statement","falsehood","analysis","category","keywords"
" Oct 31","Falsely described Mexico’s value added tax: “Under NAFTA, we eliminated our tariffs on Mexico but Mexico raised their VAT on us.”","Mexico's VAT is a trade barrier","Mexico did not raise its VAT “on us” — it raised its VAT in general — and the decision was unrelated to NAFTA. NAFTA came into effect on Jan. 1, 1994; Mexico raised the VAT from 10 to 15 per cent in spring 1995 as part of its response to its economic crisis. Articles at the time did not mention NAFTA.","Trade/economy",""
" Oct 30","Falsely said of the illegal immigrant who killed Nevada teenager Rene Angulo, “Everybody said we must get him out of our country. We must incarcerate him. This guy was brutal . . . He had a record as long as your arm, but the Obama administration didn’t want to put him out.”","Obama didn't want to deport illegal who killed Rene angulao","There is no evidence that the Obama administration made any decision about this man. He had been deported twice in the past.","Obama's record",""
" Oct 30","Falsely said, “We’re tied in New Mexico.”","Polls say he's tied in...","Clinton leads by an average of nine points in New Mexico polls.","Polls",""
" Oct 31","Falsely said he was “even” in Michigan polls.","Polls say he's tied in...","He was down by an average of 7 percentage points.","Polls",""
" Oct 30","Falsely said, “We’re ahead in many states, including your great state and North Carolina.”","Polls say he's winning in...","The North Carolina claim was repeated at a rally later in the day. Trump is trailing in both Nevada and North Carolina.","Polls",""
" Oct 30","Falsely said, “We’re winning many national polls.”","Polls say he's winning in...","Repeated at both rallies later in the day. At the time he spoke in Las Vegas, Trump was only leading in the Los Angeles Times tracking poll that has been consistently most favourable to him. He was tied in one other poll, by Rasmussen, and trailing in all the others.","Polls",""
" Oct 31","Falsely said, “You’ve been seeing polls. We’re winning almost everywhere.”","Polls say he's winning in...","Trump was trailing nationally and in most swing states.","Polls",""
" Nov 1","Falsely said of polls, “We’re sort of way up everywhere.” ","Polls say he's winning in...","He held leads in some key states but trailed in many others.","Polls",""
" Oct 30","Falsely said, “Murder is — in 45 years, right now, the rates are the highest they’ve been . . . and they don’t want to talk about it.”","Said murders are ""the highest in 45 years""","Repeated at another rally later in the day. The murder rate is among the lowest of the past 45 years. While it rose more than 10 per cent between 2014 and 2015 — the biggest spike in 45 years — it was still near historic lows at 4.9 per 100,000 people in 2015; 45 years prior, in 1970, it was 7.9 per 100,000 people.","African Americans/inner cities",""
" Oct 30","Falsely said, “Think of this: we’re the highest-taxed nation in the world.”","Said U.S. taxes are ""the highest in the world""","The U.S. does not even have the highest corporate taxes, though it is near the top. Where all taxes are concerned, the U.S. is below the average for OECD industrialized nations.","Taxes",""
" Oct 31","Falsely said, “We’re the highest-taxed nation in the world.”","Said U.S. taxes are ""the highest in the world""","The U.S. does not even have the highest corporate taxes, though it is near the top. Where all taxes are concerned, the U.S. is below the average for OECD industrialized nations.","Taxes",""
" Nov 1","Falsely said, “We’re the highest-taxed nation in the world.”","Said U.S. taxes are ""the highest in the world""","The U.S. is not even the highest on corporate taxes, though it is among the highest. When all taxes are considered, it is below average for industrialized countries.","Taxes",""
" Oct 30","Falsely said, “We take care, in many cases, of illegal immigrants more so than we take care of our great veterans.”","Said Veterans ""are treated worse"" than illegals","Every news outlet that has examined this claim has found it ridiculous.","Refugees/Immigration",""
" Oct 30","Falsely said of Frank Sinatra, “When he originally heard and sang for the first ‘My Way’ . . . he didn’t like it. But then he sang it a couple times and then it went to No. 1 and all of a sudden he loved it.”","Sinatra liked ""My Way""","Sinatra did not actually come to like the song. His daughter Tina said in 2000, “He always thought that song was self-serving and self-indulgent. He didn’t like it. That song stuck and he couldn’t get it off his shoe.”","WTF",""
" Oct 30","Falsely said, “The Cubans gave me their most coveted award, and it was a great honour.”","Trump won an award from Cuba","Trump received an endorsement last week from the Cuban-American Bay of Pigs Veterans Association in Miami. It was not an award, nor from “the Cubans” or even the broader Cuban-American community more broadly.","WTF",""
